kinase,upregulated,downregulated,unregulated,upregulated_enrichment_value,upregulated_enrichment_value_log2,upregulated_p_value,upregulated_p_value_log10_abs,upregulated_adjusted_p_value,upregulated_adjusted_p_value_log10_abs,downregulated_enrichment_value,downregulated_enrichment_value_log2,downregulated_p_value,downregulated_p_value_log10_abs,downregulated_adjusted_p_value,downregulated_adjusted_p_value_log10_abs,dominant_direction,dominant_enrichment_value_log2,dominant_p_value_log10_abs,dominant_adjusted_p_value_log10_abs
CAMLCK,12.0,5.0,110.0,0.9467660208643816,0.07892016575835346,0.6157594782794187,0.21058889441737227,1.0,0.0,0.3528392428685684,-1.5029170681660713,0.9974695859056928,0.0011003376208654275,1.0,0.0,upregulated set,0.07892016575835346,0.21058889441737227,0.0
CDC7,45.0,9.0,202.0,2.0925851776354105,1.065286348152524,5.804906662292777e-05,4.236204758936103,0.0006281738280981112,3.201920161776018,0.3377941651731939,-1.565783686666357,0.9999283405551209,3.112241660810175e-05,1.0,0.0,upregulated set,1.065286348152524,4.236204758936103,3.201920161776018
CDK1,19.0,58.0,274.0,0.5777813158281487,0.7914045438022619,0.9936093234311919,0.0027843419906414023,1.0,0.0,1.8249949310624494,-0.8678924569015739,0.00017231065591376594,3.763687864389171,0.0037292949101336488,2.428373271565104,downregulated set,-0.8678924569015739,3.763687864389171,2.428373271565104
CDK10,25.0,90.0,399.0,0.5059738387063549,0.9828653023478757,0.9997812879061508,9.499584423291455e-05,1.0,0.0,2.07765507518797,-1.0549561630870916,1.205242359905698e-07,6.918925612851646,7.303768701028531e-06,5.13645298868536,downregulated set,-1.0549561630870916,6.918925612851646,5.13645298868536
CDK12,17.0,54.0,301.0,0.4623698781838317,1.1128806806350642,0.999686351345465,0.000136237246352472,1.0,0.0,1.5089427934282984,-0.5935381118939287,0.007897278746364469,2.102522532637633,0.08545983786244409,1.0682379354775473,downregulated set,-0.5935381118939287,2.102522532637633,1.0682379354775473
CDK13,16.0,59.0,284.0,0.4628702447241589,1.1113202718744464,0.9995604346140257,0.00019094279056018106,1.0,0.0,1.7900942238798645,-0.8400355275714092,0.00023441584122201853,3.630013043153751,0.004735199992684774,2.3246616737071273,downregulated set,-0.8400355275714092,3.630013043153751,2.3246616737071273
CDK14,11.0,58.0,324.0,0.26994069232631324,1.8892856220015501,0.999999894064983,4.600699575194367e-08,1.0,0.0,1.5122813786008231,-0.5967265957390643,0.006126332028528813,2.2127994694539845,0.07322767742332233,1.1353247402483877,downregulated set,-0.5967265957390643,2.2127994694539845,1.1353247402483877
CDK16,23.0,58.0,310.0,0.617522492868115,0.6954364079741994,0.9908101535272351,0.004009551542946944,1.0,0.0,1.5896729390681004,-0.6687299744904118,0.0025893179460456128,2.58681461865159,0.03736015893580098,1.4275912848832044,downregulated set,-0.6687299744904118,2.58681461865159,1.4275912848832044
CDK17,15.0,47.0,285.0,0.4308121296619031,1.2148692248642898,0.9998206914601243,7.787969188174095e-05,1.0,0.0,1.3634219327583172,-0.44723209633180294,0.043141979632303186,1.3650999305440932,0.2970913597406333,0.5271099785279756,downregulated set,-0.44723209633180294,1.3650999305440932,0.5271099785279756
CDK18,16.0,43.0,266.0,0.4977893238078585,1.006392806020055,0.9985911917377683,0.0006122690405260929,1.0,0.0,1.3289783865604605,-0.41031764196879394,0.06564976714615187,1.182766809975426,0.4059567233731432,0.39152026150163477,downregulated set,-0.41031764196879394,1.182766809975426,0.39152026150163477
